,startFrame,endFrame,startPointX,startPointY,endPointX,endPointY,angle,duration
0,0,56,108.26,735.89,161.1,751.36,0.2848112180878579,1.8666666666666667
1,298,319,806.78,171.41,764.25,167.54,-3.05084796672845,0.7
2,634,652,396.88,520.02,402.8299999999999,551.17,1.3820585592747652,0.6
3,858,897,699.68,253.89,646.97,219.09,-2.558069008366679,1.3
4,1109,1150,699.81,268.07,665.01,221.67,-2.2142974355881804,1.3666666666666667
6,1510,1560,843.82,527.01,902.415,537.2049999999999,0.1722664376029581,1.6666666666666667
7,1765,1783,501.91,571.5,512.74,618.67,1.345112547196314,0.6
8,2027,2048,563.77,574.08,606.82,604.5,0.6151552528423796,0.7
9,2158,2177,1008.4,282.82,995.51,324.06,1.873736421667485,0.6333333333333333
10,2304,2323,599.2566666666667,567.9,630.01,598.05,0.7754920783763836,0.6333333333333333
13,2928,2983,545.08,94.25,500.88,44.75,-2.29969119776778,1.8333333333333333
14,3383,3408,1361.88,242.76,1388.4,240.99,-0.0666432444874472,0.8333333333333334
15,3762,3786,366.52,612.27,389.5,569.83,-1.0745253990929389,0.8
17,4314,4338,568.9066666666668,584.5733333333334,588.0,567.3,-0.7353940525538943,0.8
18,4524,4546,776.69,232.15,789.06,267.51,1.2342726808911917,0.7333333333333333
19,4684,4703,136.69,309.94,170.28,357.68,0.957656433645979,0.6333333333333333
20,5011,5029,1303.54,495.58,1271.18,486.92,-2.8801057147306373,0.6
21,5385,5430,1252.27,446.08,1218.67,410.72,-2.330677987734316,1.5
22,5676,5713,1206.3,389.5,1163.87,359.45,-2.525367650641698,1.2333333333333334
24,6362,6380,868.62,522.1,882.76,506.19,-0.8442320166229432,0.6
26,6867,6902,928.73,362.98,925.19,322.32,-1.6576407932908297,1.1666666666666667
27,7177,7219,1027.16,773.27,1079.87,787.45,0.2627974151878232,1.4
29,7812,7836,804.07,342.82,792.47,404.68,1.756163797365275,0.8
31,8505,8529,179.14,353.13,184.3,382.77,1.3984346597193735,0.8
32,8726,8767,1000.1,806.78,1056.67,778.43,-0.464566401589815,1.3666666666666667
33,41,68,354.42,619.9,393.08,652.12,0.694789159013533,0.9
34,298,337,427.88,229.4,420.14,171.41,-1.7034834017697418,1.3
35,692,725,426.46,493.6,466.41,536.13,0.8166682776062253,1.1
36,899,923,382.77,506.49,381.35,554.18,1.600563166200473,0.8
37,1128,1167,741.0066666666667,512.5133333333333,791.31,514.22,0.0339144977346854,1.3
38,1363,1395,798.33,544.44,833.13,538.0,-0.1829873350651303,1.0666666666666669
40,1779,1811,887.0466666666667,546.59,922.745,544.625,-0.0549890941122145,1.0666666666666669
41,2028,2066,779.0,228.69,730.625,210.28,-2.777948992019676,1.2666666666666666
42,2154,2174,556.06,555.14,581.83,585.7950000000001,0.8717579300347249,0.6666666666666666
43,2339,2384,654.5,237.19,602.95,198.53,-2.498122583346378,1.5
44,2496,2518,655.27,686.21,665.58,652.7,-1.2723183652844146,0.7333333333333333
45,2693,2713,409.12,171.98,410.92,152.13,-1.4803635574644225,0.6666666666666666
46,2963,2990,1298.23,221.55,1317.68,226.85,0.2660345159805462,0.9
48,3763,3793,1229.28,297.57,1262.87,256.91,-0.8803308026303367,1.0
49,4141,4163,502.65,249.83,484.44,216.42,-2.0698284313744306,0.7333333333333333
50,4307,4323,129.61,400.11,145.52,437.24,1.1659695515616004,0.5333333333333333
51,4542,4602,477.9,103.09,428.4,41.22,-2.245576689536809,2.0
52,4713,4744,378.5525,720.3725,374.83,768.02,1.6487637754755986,1.0333333333333334
