,startFrame,endFrame,startPointX,startPointY,endPointX,endPointY,angle,duration
0,25,61,777.03,344.41,832.0,364.7,0.3535972350123325,1.2
1,119,152,773.585,354.455,813.075,393.7000000000001,0.7822864696240228,1.1
2,204,242,798.1,299.5,854.9,322.2,0.3802027948508958,1.2666666666666666
3,303,336,807.8,318.6,846.2,344.6,0.5951795138149878,1.1
5,1830,1846,353.49,379.23,335.1,428.28,1.929499968444348,0.5333333333333333
6,1901,1925,357.17,379.23,368.2,431.95,1.3645527292704185,0.8
7,1982,1998,323.18,426.1,327.29,468.64,1.4744803194218592,0.5333333333333333
8,2062,2079,320.43,465.9,323.18,512.55,1.5119148443663395,0.5666666666666667
11,2286,2304,317.69,546.86,317.82,577.74,1.5665865071051122,0.6
12,2345,2369,700.56,420.61,701.93,456.29,1.5324183188736131,0.8
16,2576,2593,720.9,414.7,709.7,434.2,2.092148725382147,0.5666666666666667
17,2678,2694,725.4,402.08,733.49,427.47,1.2623371804873322,0.5333333333333333
19,2815,2834,590.91,319.75,603.26,349.94,1.1824905063562974,0.6333333333333333
20,2865,2884,486.48,603.13,490.6,641.55,1.463968752517523,0.6333333333333333
21,2956,2975,486.48,608.62,490.6,653.9,1.4800567900523047,0.6333333333333333
22,3019,3038,631.94,250.44,614.24,286.81,2.0237190042546724,0.6333333333333333
23,3087,3107,649.92,256.62,648.55,289.56,1.6123631416215356,0.6666666666666666
24,3157,3178,640.18,273.77,627.83,308.08,1.9163106234464,0.7
25,3221,3237,671.74,279.26,673.25,315.63,1.529302422771552,0.5333333333333333
26,3293,3313,655.27,262.8,651.16,309.45,1.6586723214078327,0.6666666666666666
28,3390,3448,1223.54,688.89,1281.04,693.7,0.0834578652020788,1.9333333333333331
30,3556,3574,649.78,275.15,655.41,308.77,1.4048760073824709,0.6
32,3695,3713,693.7,262.8,674.49,291.61,2.1588790264576323,0.6
36,4118,4153,791.27,772.61,791.27,717.71,-1.5707963267948966,1.1666666666666667
38,4267,4305,763.69,744.47,787.01,712.91,-0.9344306728421784,1.2666666666666666
39,4309,4328,552.35,297.1,574.31,331.41,1.001450053509832,0.6333333333333333
41,4568,4584,703.44,369.15,711.67,408.95,1.366886358302148,0.5333333333333333
42,4586,4618,763.82,775.35,794.01,723.2,-1.0460307908319624,1.0666666666666669
43,4638,4660,722.52,361.6,706.19,397.97,1.992815366289012,0.7333333333333333
44,4672,4688,781.53,751.33,765.2,727.32,-2.168064115591533,0.5333333333333333
45,4699,4722,744.61,362.29,733.63,403.46,1.8314289542294109,0.7666666666666667
46,4748,4772,792.64,730.06,810.34,682.72,-1.2129982837012936,0.8
48,4920,4940,695.21,385.62,712.91,415.12,1.030376826524314,0.6666666666666666
49,5004,5031,743.24,720.46,754.22,676.54,-1.3258176636680326,0.9
50,5057,5075,732.81,385.2,723.89,406.89,1.9609627090650668,0.6
51,5120,5138,762.31,360.23,768.49,397.56,1.4067338498568092,0.6
54,5317,5335,714.28,409.63,712.6,438.8,1.62832619196817,0.6
55,5367,5392,219.02,349.94,175.11,323.86,-2.605639358218046,0.8333333333333334
57,5463,5481,714.97,379.72,720.46,415.4,1.4181259377871915,0.6
58,5539,5555,769.86,378.34,767.8,416.49,1.6247413168260016,0.5333333333333333
60,5641,5661,806.23,373.95,815.15,408.53,1.318347006672688,0.6666666666666666
62,5812,5840,814.6,640.86,822.83,601.07,-1.366836521042337,0.9333333333333332
64,6003,6043,633.45,607.93,685.6,623.02,0.2816647754681478,1.3333333333333333
66,6155,6174,821.46,393.85,814.6,435.02,1.7359056155219754,0.6333333333333333
67,6223,6239,829.55,420.61,843.28,449.43,1.126202037436447,0.5333333333333333
71,6475,6491,825.44,482.36,843.42,513.24,1.043527647502401,0.5333333333333333
72,6538,6555,792.64,480.3,788.52,518.73,1.677596314034168,0.5666666666666667
73,6606,6624,840.67,466.58,854.39,502.26,1.2036976188123103,0.6
76,6769,6816,684.23,189.79,654.04,115.68,-1.957637754794856,1.5666666666666669
77,6828,6844,808.97,478.25,803.62,510.5,1.7351906669123216,0.5333333333333333
78,7405,7435,1375.73,677.23,1400.57,664.19,-0.483415441887856,1.0
79,7616,7641,1363.52,708.11,1400.57,706.73,-0.0372297531982824,0.8333333333333334
80,7745,7771,1279.81,750.65,1304.37,787.01,0.9767255297162316,0.8666666666666667
81,7841,7872,1311.37,760.25,1342.93,795.93,0.846594706510677,1.0333333333333334
82,8135,8173,1283.92,758.88,1349.79,779.47,0.3029626644971109,1.2666666666666666
83,8230,8263,1272.95,776.72,1320.98,813.77,0.6570525593411042,1.1
84,8334,8354,1318.23,756.14,1333.33,778.09,0.9682190135310056,0.6666666666666666
85,8448,8490,1288.04,772.61,1307.12,826.81,1.232314616901112,1.4
86,8562,8601,647.18,366.4,715.79,371.89,0.0798473646246633,1.3
87,59,91,892.5333333333333,758.5666666666666,905.5,754.9,-0.2755813510555797,1.0666666666666669
88,246,271,949.0,753.3,967.85,763.5,0.4959954030035483,0.8333333333333334
89,496,536,968.05,788.2,992.2,766.4,-0.7343001361072261,1.3333333333333333
90,1539,1572,460.41,140.66,488.2975,124.7075,-0.5195997427611901,1.1
91,1648,1681,467.27,181.83,516.67,192.81,0.2187118128149307,1.1
92,1740,1779,478.25,210.65,516.81,174.28,-0.7561792026510494,1.3
93,1843,1875,490.6,191.44,534.51,185.95,-0.1243830238093045,1.0666666666666669
94,1998,2024,477.01,236.04,502.95,239.47,0.1314655644439537,0.8666666666666667
95,2104,2131,493.34,233.98,519.42,214.76,-0.6351052077940242,0.9
96,2277,2298,556.47,244.96,583.91,228.49,-0.5405802633579949,0.7
97,2600,2618,1032.66,637.43,1066.96,626.46,-0.3095442580448336,0.6
99,2791,2814,1039.52,626.46,1063.53,606.14,-0.7023502760434148,0.7666666666666667
100,2893,2915,1025.79,619.59,1051.87,623.71,0.1566806357437653,0.7333333333333333
101,4287,4325,751.47,520.1,817.34,499.52,-0.30282435766465,1.2666666666666666
102,4420,4437,594.89,309.45,630.71,355.43,0.9089706854904438,0.5666666666666667
103,4563,4580,427.61,100.18,437.08,122.82,1.1746260273282805,0.5666666666666667
104,5518,5540,220.39,332.1,214.76,292.99,-1.7137671104066143,0.7333333333333333
106,7288,7317,330.04,361.6,301.36,324.27,-2.225896167641501,0.9666666666666668
108,668,698,432.85,810.2,455.6,833.2,0.790862589881936,1.0
109,763,798,412.2666666666667,808.6,455.35,794.15,-0.3236062701973503,1.1666666666666667
110,852,895,421.65,817.2,470.3,841.2,0.4582890452862392,1.4333333333333331
111,956,996,433.5,821.4,481.3,830.6,0.1901434710335478,1.3333333333333333
112,1064,1107,457.7,803.45,514.1,832.87,0.4808024440504929,1.4333333333333331
113,1176,1211,492.03,814.48,530.04,825.52,0.2826723536759317,1.1666666666666667
114,1280,1321,487.13,824.29,543.53,839.0,0.2551318658853951,1.3666666666666667
115,1386,1437,525.99,834.84,579.94,834.84,0.0,1.7
116,1500,1535,538.62,834.1,588.52,845.87,0.2316379208212669,1.1666666666666667
117,1608,1648,562.345,831.4,607.28,847.59,0.3458195502860432,1.3333333333333333
118,1712,1746,557.01,835.33,605.69,833.61,-0.035318093324393,1.1333333333333333
119,1818,1864,582.185,830.485,635.0,850.6,0.3638962816229197,1.5333333333333334
120,1921,1964,581.17,818.9,637.93,883.14,0.8471377794747518,1.4333333333333331
124,2141,2176,640.38,859.85,689.42,885.59,0.4833510836732111,1.1666666666666667
125,2223,2239,31.01,363.66,54.21,384.93,0.7420253365890088,0.5333333333333333
126,2249,2279,686.61,845.87,739.935,845.255,-0.0115325407381454,1.0
128,2394,2413,176.8233333333333,414.81,157.1,448.5,2.1004380468217243,0.6333333333333333
129,2463,2494,706.22,856.9,709.9,860.58,0.7853981633974637,1.0333333333333334
130,2508,2527,148.89,415.12,137.9,442.6,1.951239960777716,0.6333333333333333
131,2582,2602,660.76,688.21,703.3,695.07,0.1598835601002256,0.6666666666666666
132,2649,2680,700.09,840.96,728.29,825.03,-0.5142058970838713,1.0333333333333334
134,2798,2814,691.09,682.03,692.33,706.05,1.5192184656670358,0.5333333333333333
135,2855,2880,748.73,693.01,772.06,753.39,1.2020807734603758,0.8333333333333334
136,2944,2987,669.81,810.8,709.9,859.36,0.8806532887845455,1.4333333333333331
137,3043,3084,677.17,809.58,718.48,823.8,0.3315222303371659,1.3666666666666667
138,3155,3180,664.54,845.87,706.22,870.39,0.5317660065307143,0.8333333333333334
139,3243,3277,683.29,836.55,717.62,850.04,0.374414724124526,1.1333333333333333
140,4473,4490,629.2,266.91,654.04,285.44,0.6409196366315141,0.5666666666666667
141,4579,4604,618.22,244.96,637.57,303.28,1.2504353036947813,0.8333333333333334
142,4710,4728,640.18,291.61,665.02,310.14,0.6409196366315117,0.6
143,4844,4864,652.53,268.28,652.67,301.91,1.5666334010955796,0.6666666666666666
144,5453,5469,880.47,214.08,874.98,236.04,1.8157749899217612,0.5333333333333333
145,5611,5638,918.89,251.13,971.04,275.83,0.4423330079580154,0.9
146,5725,5747,932.62,262.11,942.22,278.58,1.0430617061760246,0.7333333333333333
147,5845,5873,965.41,249.07,987.37,280.64,0.9630314546843708,0.9333333333333332
148,6293,6321,770.55,158.5,748.59,198.3,2.0749888564612946,0.9333333333333332
149,6498,6551,673.11,556.47,732.12,567.45,0.18396631132925,1.7666666666666666
150,6584,6617,813.22,207.22,829.69,256.62,1.2489850448826914,1.1
151,6704,6720,688.35,203.1,713.05,233.29,0.8850848537320052,0.5333333333333333
152,6729,6791,706.19,615.2,766.57,650.88,0.5337193511080698,2.066666666666667
153,6890,6918,681.48,177.03,722.65,215.45,0.7508598241058138,0.9333333333333332
154,7025,7058,729.51,144.09,724.03,179.77,1.7231929172005984,1.1
155,7122,7179,761.08,698.91,833.81,720.87,0.293234447110028,1.9
156,7216,7238,684.23,277.2,697.95,321.12,1.2680151767206471,0.7333333333333333
157,7298,7360,791.27,679.7,851.65,685.19,0.0906748199288042,2.066666666666667
158,7497,7541,804.99,687.93,848.9,722.24,0.6632781185417281,1.4666666666666666
159,7562,7595,404.28,310.14,435.84,362.29,1.0265786285439644,1.1
160,7652,7678,409.63,342.39,430.35,397.97,1.213959355771621,0.8666666666666667
161,7732,7753,405.65,399.34,433.1,422.67,0.7044411883209041,0.7
162,7812,7864,837.93,714.01,887.33,731.85,0.3465587617637175,1.7333333333333334
163,7925,7972,835.18,698.91,885.96,714.01,0.2890340908468922,1.5666666666666669
164,8025,8079,828.32,687.93,891.45,712.64,0.3730832795584634,1.8
165,8163,8225,853.02,657.74,914.78,670.09,0.1973644217524289,2.066666666666667
166,8287,8345,847.53,668.72,929.87,715.38,0.5155551359989764,1.9333333333333331
167,8417,8472,877.72,689.31,942.08,701.93,0.1936278604363899,1.8333333333333333
168,8546,8584,899.68,679.7,953.2,674.21,-0.1022209412397552,1.2666666666666666
169,8645,8709,931.24,660.49,998.49,681.07,0.2969726461431001,2.1333333333333333
170,8786,8841,917.52,667.35,995.74,679.7,0.1565953119852653,1.8333333333333333
171,661,680,1021.8,729.8,1052.245,726.23,-0.1167275780250644,0.6333333333333333
173,827,849,1075.9,747.3,1105.6,770.5,0.6631376503120449,0.7333333333333333
174,920,936,1100.9,780.9,1127.7,783.3,0.0893139929932215,0.5333333333333333
177,1431,1472,869.35,198.3,928.36,173.6,-0.3964144558558796,1.3666666666666667
178,2929,2945,662.13,733.49,681.48,757.51,0.8926629925216939,0.5333333333333333
179,2997,3019,737.61,719.77,745.98,775.35,1.4213257562245452,0.7333333333333333
180,3056,3074,697.81,769.17,711.67,793.19,1.0474459256644648,0.6
181,3111,3137,724.03,738.3,740.49,780.84,1.2016077629695925,0.8666666666666667
183,3246,3274,730.89,731.44,755.45,770.55,1.0100624204958344,0.9333333333333332
184,3314,3337,728.14,763.0,754.22,801.42,0.9744317153090166,0.7666666666666667
185,3644,3663,721.28,772.61,733.63,805.54,1.2119923775466657,0.6333333333333333
187,4794,4817,58.46,391.11,61.2,429.53,1.499599845694549,0.7666666666666667
188,6223,6243,756.82,577.05,761.08,528.34,-1.483561908078107,0.6666666666666666
190,6415,6437,707.56,474.82,680.11,440.51,-2.245572811936507,0.7333333333333333
191,6498,6520,706.19,498.14,756.96,459.72,-0.6478046570193382,0.7333333333333333
192,6589,6623,702.07,509.12,751.47,459.72,-0.7853981633974483,1.1333333333333333
193,6673,6704,703.44,473.44,713.05,437.76,-1.307701087551124,1.0333333333333334
194,8826,8859,976.53,69.99,939.48,26.07,-2.2715509753490624,1.1
195,1065,1082,396.4,612.18,393.58,634.99,1.6938021586416396,0.5666666666666667
196,1144,1167,366.97,660.0,364.52,722.53,1.6099574883929666,0.7666666666666667
197,1214,1252,1354.7,489.3,1403.06,486.545,-0.0569070598576474,1.2666666666666666
198,1280,1314,365.38,720.81,404.98,789.96,1.0507162880008496,1.1333333333333333
199,1382,1405,420.55,734.3,425.455,764.95,1.412109252731223,0.7666666666666667
200,1563,1584,448.505,716.4000000000001,479.4,750.24,0.8308599821098123,0.7
201,1639,1659,434.04,742.88,437.72,777.21,1.4640092286305229,0.6666666666666666
202,1730,1755,441.76,743.37,476.09,766.67,0.5962917378469249,0.8333333333333334
203,1807,1826,453.7,767.0,459.7,795.8,1.3654009376051288,0.6333333333333333
204,1879,1909,451.2,722.04,466.28,762.99,1.217953062697983,1.0
205,1971,1997,436.49,711.0,462.24,749.01,0.975363182785692,0.8666666666666667
206,2055,2078,434.41,712.72,430.36,730.62,1.7933068613359362,0.7666666666666667
207,2137,2163,426.68,723.26,402.345,773.165,2.0244962193157243,0.8666666666666667
208,2214,2233,423.0,733.07,434.04,758.82,1.1657639396765074,0.6333333333333333
209,2299,2323,402.53,737.24,430.36,779.66,0.9901738647845624,0.8
210,2390,2417,433.18,754.41,444.21,798.54,1.3258709827828852,0.9
211,2698,2770,959.92,748.59,1010.7,710.17,-0.6477098910277378,2.4
212,4857,4882,758.33,333.47,722.65,284.07,-2.19631093009212,0.8333333333333334
213,4967,5006,748.73,376.01,691.09,317.0,-2.344450495204719,1.3
214,5587,5626,548.23,361.6,614.24,351.31,-0.154640881565633,1.3
215,7128,7184,803.48,297.1,755.59,215.45,-2.1012509445628678,1.8666666666666667
216,7260,7304,830.93,206.53,787.01,155.76,-2.2839789649291427,1.4666666666666666
217,7384,7428,765.06,168.11,737.75,100.18,-1.9530527718697488,1.4666666666666666
218,7486,7535,763.82,141.35,739.12,60.38,-1.8668808320706944,1.6333333333333333
219,7598,7651,730.89,101.55,685.6,46.66,-2.260658699280261,1.7666666666666666
220,7715,7769,715.79,82.34,708.93,5.49,-1.6598251620631603,1.8
221,7834,7887,730.89,37.05,699.32,1.37,-2.295155168447444,1.7666666666666666
222,7959,8012,726.77,20.58,726.77,2.74,-1.5707963267948966,1.7666666666666666
223,1186,1205,246.45,214.45,225.18,255.16,2.052262674877873,0.6333333333333333
226,2562,2579,338.27,478.25,334.16,513.93,1.6854814448895323,0.5666666666666667
227,2617,2633,349.25,478.25,353.37,496.09,1.3438337322220872,0.5333333333333333
228,2676,2694,325.92,463.15,316.32,512.55,1.7627359781929652,0.6
230,2789,2806,356.11,465.9,368.46,502.95,1.249045772398255,0.5666666666666667
231,2847,2866,397.42,455.6,402.77,489.22,1.4129880304113096,0.6333333333333333
232,2915,2933,396.05,459.72,393.3,484.42,1.6816757208156143,0.6
233,2975,2991,420.61,449.43,433.1,491.28,1.2807650637329182,0.5333333333333333
234,3027,3053,993.0,859.06,1024.56,894.74,0.8465947065106821,0.8666666666666667
236,3190,3207,371.34,489.91,374.09,528.34,1.4993594169597533,0.5666666666666667
237,3307,3326,520.79,365.72,548.23,398.65,0.8760879209608091,0.6333333333333333
238,3371,3387,541.51,363.66,541.51,393.85,1.5707963267948966,0.5333333333333333
241,3597,3647,1233.15,665.57,1296.28,668.31,0.043375279985378,1.6666666666666667
243,3727,3745,522.16,313.57,533.14,346.51,1.249045772398254,0.6
245,3970,3990,568.82,244.96,564.25,279.7,1.7015939381381062,0.6666666666666666
247,4086,4103,557.84,225.74,557.84,261.42,1.5707963267948966,0.5666666666666667
248,4141,4159,574.44,198.98,593.52,229.86,1.0173365526943003,0.6
250,4256,4277,544.12,210.65,572.94,266.91,1.0973853376407787,0.7
251,4723,4743,465.9,54.21,481.13,105.67,1.2830518785034828,0.6666666666666666
255,4976,4992,467.27,65.18,461.92,107.04,1.6979141512163118,0.5333333333333333
256,5037,5057,464.66,68.62,494.71,114.59,0.9918334244866744,0.6666666666666666
257,5099,5117,470.15,120.76,472.89,156.44,1.494153030834967,0.6
259,5217,5235,478.38,148.21,485.25,190.75,1.4106836603716937,0.6
260,5284,5301,494.85,182.52,514.06,207.22,0.9097811872067544,0.5666666666666667
264,5688,5708,577.19,236.04,570.33,260.74,1.8417014147612392,0.6666666666666666
265,5752,5771,588.17,218.2,595.03,244.27,1.313491492929483,0.6333333333333333
268,5937,5954,561.96,217.51,575.68,246.33,1.1264848726111711,0.5666666666666667
